index,Unnamed: 0,user_id,movie_id,rating,Date
16668,16668,93,235,4,1998-02-28 22:45:39
2626,2626,210,58,4,1998-02-17 15:42:57
24623,24623,85,28,4,1997-11-18 05:01:41
11406,11406,211,357,2,1997-11-13 22:29:32
18828,18828,271,272,3,1998-01-26 19:56:23
68131,68131,59,219,5,1998-02-23 04:01:25
13957,13957,5,243,1,1997-11-06 19:22:44
36164,36164,95,509,4,1997-11-10 21:35:28
10889,10889,198,636,3,1998-01-07 21:42:33
4073,4073,207,273,4,1997-10-29 05:56:09
87568,87568,346,58,3,1997-09-24 17:28:32
595,595,269,22,1,1998-04-01 16:27:52
34771,34771,354,93,4,1998-03-30 00:13:25
36455,36455,224,329,3,1998-02-21 17:29:47
7144,7144,336,13,3,1997-10-25 05:21:30
21887,21887,59,201,4,1998-02-23 03:24:20
4273,4273,110,79,4,1998-02-09 01:41:20
16526,16526,18,135,3,1997-11-21 16:34:25
5017,5017,303,398,1,1997-11-14 05:29:32
19877,19877,221,33,4,1997-09-26 04:03:52
14811,14811,315,340,4,1997-12-01 22:59:30
21968,21968,43,496,5,1998-01-04 23:13:25
40191,40191,109,395,3,1997-11-26 22:34:32
24053,24053,272,210,5,1997-11-13 21:07:00
479,479,303,404,4,1997-11-14 00:46:15
10276,10276,85,655,3,1997-11-13 20:52:30
68724,68724,332,471,4,1998-02-20 01:32:31
34309,34309,285,346,4,1998-03-22 19:37:36
4515,4515,69,56,5,1997-12-15 00:23:48
3244,3244,311,73,4,1998-01-09 17:16:27
1264,1264,117,181,5,1997-11-21 15:04:08
44929,44929,301,576,4,1997-12-14 05:59:59
26615,26615,313,404,4,1998-03-27 20:23:09
26137,26137,202,204,3,1997-11-17 00:37:38
8594,8594,343,143,4,1997-10-09 14:17:57
82444,82444,1,231,1,1997-10-15 05:23:51
16312,16312,297,471,3,1997-09-22 18:56:51
76684,76684,314,540,3,1997-10-26 18:26:47
97694,97694,305,484,3,1998-02-01 08:47:18
38670,38670,3,322,3,1998-03-07 02:21:09
65783,65783,374,203,3,1997-12-01 00:55:35
69226,69226,293,513,5,1998-03-03 06:19:50
30025,30025,59,174,5,1998-02-23 03:29:13
65465,65465,299,603,3,1997-10-26 15:41:14
21832,21832,327,10,4,1998-02-17 19:40:32
5972,5972,18,191,4,1997-11-21 16:36:33
44119,44119,59,185,5,1998-02-23 03:40:28
42023,42023,60,434,5,1997-12-28 16:42:48
28734,28734,234,140,2,1998-04-11 22:46:06
30369,30369,70,132,4,1998-01-06 06:14:41
19950,19950,110,550,3,1998-02-09 01:44:24
72003,72003,288,98,5,1998-02-01 22:51:14
4513,4513,182,293,3,1998-01-24 03:39:12
23628,23628,236,203,4,1998-03-17 06:28:52
32441,32441,288,190,1,1998-02-01 23:04:46
57204,57204,132,50,3,1998-03-30 17:26:14
84314,84314,313,582,2,1998-03-27 16:37:02
24643,24643,268,229,2,1997-09-26 21:53:04
18582,18582,168,619,3,1998-01-08 19:25:36
26059,26059,271,286,4,1998-01-26 19:56:50
13355,13355,82,220,2,1997-11-05 22:27:20
73107,73107,13,174,4,1997-12-14 22:50:29
12711,12711,106,22,4,1997-12-06 23:10:30
36878,36878,1,26,3,1997-09-24 03:40:42
19809,19809,271,38,2,1998-01-26 21:20:48
18384,18384,236,195,2,1998-03-17 07:08:27
36765,36765,158,55,4,1997-11-21 17:46:47
23506,23506,361,475,4,1997-11-13 17:01:15
21870,21870,254,498,4,1998-02-03 02:15:15
20836,20836,85,195,3,1997-12-24 20:25:32
19265,19265,91,97,5,1998-04-01 13:55:47
17846,17846,346,405,3,1998-01-31 19:14:58
9090,9090,43,161,4,1998-01-04 23:11:07
44519,44519,198,434,3,1998-01-07 21:21:01
6569,6569,320,472,3,1998-01-14 03:32:30
6216,6216,265,328,4,1997-09-27 00:28:04
23743,23743,72,525,4,1997-11-20 14:50:36
16301,16301,345,535,3,1998-01-16 23:42:16
85687,85687,280,452,2,1998-04-04 15:06:27
61968,61968,303,564,1,1997-11-14 05:30:47
19052,19052,183,294,3,1998-04-01 21:48:00
13737,13737,303,651,5,1997-11-14 00:40:21
33376,33376,194,134,2,1997-11-14 15:35:19
53512,53512,301,162,3,1997-12-14 05:44:47
26617,26617,126,328,5,1998-02-19 02:02:15
22500,22500,251,22,5,1998-01-31 18:39:15
5735,5735,286,56,2,1997-10-22 14:44:29
99068,99068,121,292,4,1998-04-01 00:02:40
43081,43081,134,315,3,1998-04-04 23:22:02
67750,67750,357,121,5,1997-11-08 01:12:56
82877,82877,326,648,5,1997-11-18 17:54:04
43404,43404,169,499,3,1998-03-31 15:49:14
24134,24134,144,196,4,1998-02-22 00:02:23
16778,16778,10,199,4,1997-10-26 18:54:10
10596,10596,352,96,4,1998-01-08 20:12:08
12840,12840,244,290,3,1997-11-27 04:23:36
9971,9971,1,150,5,1997-10-15 05:09:56
16843,16843,102,286,3,1997-12-28 02:54:05
6368,6368,152,220,5,1998-01-05 21:31:47
28284,28284,268,328,1,1997-10-10 20:00:43
4013,4013,303,460,4,1997-11-14 21:40:00
6761,6761,318,384,3,1998-01-11 05:56:50
5730,5730,332,44,3,1998-02-24 22:45:42
83508,83508,314,144,3,1997-10-26 18:07:55
49206,49206,373,22,5,1997-10-17 14:35:19
95932,95932,293,628,3,1998-03-03 06:03:24
39075,39075,363,597,4,1998-04-02 06:24:46
30777,30777,194,225,3,1997-11-14 21:39:49
2224,2224,145,591,4,1997-11-10 11:37:28
32221,32221,61,300,5,1998-03-29 21:20:07
14750,14750,197,233,4,1998-04-01 05:52:15
99188,99188,82,582,4,1997-11-05 22:36:50
13105,13105,292,194,4,1997-12-02 23:30:42
38553,38553,194,483,4,1997-11-14 15:21:56
52155,52155,13,348,2,1998-02-08 15:37:26
57384,57384,293,67,3,1998-03-03 06:46:15
12381,12381,95,622,4,1997-11-26 19:14:38
56506,56506,180,469,5,1997-10-20 18:31:18
71444,71444,265,288,4,1997-09-27 00:27:04
86979,86979,262,219,3,1997-11-17 19:16:46
22747,22747,85,258,4,1997-12-22 17:41:12
25254,25254,334,591,4,1998-04-02 19:20:10
2247,2247,293,346,3,1998-03-03 05:46:44
22928,22928,213,252,3,1997-11-07 02:40:56
4150,4150,201,26,4,1998-01-06 18:38:47
6953,6953,7,608,4,1998-03-31 13:40:53
87318,87318,350,127,5,1997-12-17 07:58:22
6900,6900,216,95,3,1997-12-06 17:12:45
14788,14788,97,174,4,1998-01-08 05:53:37
90644,90644,297,659,4,1997-12-09 22:54:15
8686,8686,291,155,3,1997-09-24 07:49:31
16681,16681,320,369,4,1998-01-14 03:38:17
2386,2386,11,190,3,1998-04-06 23:09:34
46258,46258,236,64,5,1998-03-17 06:29:23
61695,61695,42,86,3,1997-12-03 00:11:20
87396,87396,347,411,5,1997-12-09 07:38:52
8691,8691,131,275,2,1998-01-01 19:03:04
11725,11725,18,169,5,1997-11-21 16:37:32
13051,13051,64,215,5,1998-03-12 21:25:14
12007,12007,296,274,4,1998-01-07 18:12:21
29244,29244,325,654,4,1998-04-02 00:51:16
35837,35837,327,92,4,1998-02-17 20:40:06
8189,8189,15,508,2,1997-11-13 21:16:29
1866,1866,246,68,5,1998-01-16 03:45:41
47532,47532,84,411,2,1997-12-30 03:28:36
30615,30615,158,250,4,1997-11-21 17:12:36
60738,60738,264,235,5,1998-01-30 01:15:52
53781,53781,60,479,5,1997-12-28 16:25:01
10624,10624,339,11,4,1998-03-27 20:59:39
11496,11496,243,286,4,1997-11-20 00:48:28
44141,44141,12,416,3,1997-11-19 17:03:45
24257,24257,109,265,5,1997-11-26 21:03:05
6443,6443,129,339,2,1997-12-27 17:45:37
13473,13473,297,272,5,1998-01-05 22:30:31
4374,4374,223,470,4,1998-04-02 20:59:27
